group,label,source_file,output_file,config_file,status,error,original_sample_count,activity_interval_count,detected_frame_count,sector0_frame_count,sector0_auth_types,sector0_read_blocks,crop_start_sample,crop_end_sample,cropped_sample_count,crop_start_ms,crop_end_ms,post_sector0_frame_count
lxj,formal,C:\Users\李\Desktop\WorkDocument\Grade3-b\Singapore\rrg_other\client\capture\lxj\formal-001.pm3,,C:\Users\李\Desktop\WorkDocument\Grade3-b\Singapore\rrg_other\client\lock\config\lxj.json,ok,,36243,23,17,10,A/B,0,9581,27027,17446,5.652507374631268,15.94513274336283,4
lxj,formal,C:\Users\李\Desktop\WorkDocument\Grade3-b\Singapore\rrg_other\client\capture\lxj\formal-002.pm3,,C:\Users\李\Desktop\WorkDocument\Grade3-b\Singapore\rrg_other\client\lock\config\lxj.json,ok,,36243,23,18,10,A/B,0,7821,25299,17478,4.614159292035398,14.925663716814158,5
lxj,formal,C:\Users\李\Desktop\WorkDocument\Grade3-b\Singapore\rrg_other\client\capture\lxj\formal-003.pm3,,C:\Users\李\Desktop\WorkDocument\Grade3-b\Singapore\rrg_other\client\lock\config\lxj.json,rejected,ambiguous authentication 2 frame gap 2: 1.473 ms,,,,,,,,,,,,
lxj,formal,C:\Users\李\Desktop\WorkDocument\Grade3-b\Singapore\rrg_other\client\capture\lxj\formal-004.pm3,,C:\Users\李\Desktop\WorkDocument\Grade3-b\Singapore\rrg_other\client\lock\config\lxj.json,ok,,36243,23,18,10,A/B,0,6829,24307,17478,4.028908554572271,14.340412979351033,5
lxj,formal,C:\Users\李\Desktop\WorkDocument\Grade3-b\Singapore\rrg_other\client\capture\lxj\formal-005.pm3,,C:\Users\李\Desktop\WorkDocument\Grade3-b\Singapore\rrg_other\client\lock\config\lxj.json,ok,,36243,23,18,10,A/B,0,7469,24915,17446,4.406489675516224,14.699115044247788,5
lxj,formal,C:\Users\李\Desktop\WorkDocument\Grade3-b\Singapore\rrg_other\client\capture\lxj\formal-006.pm3,,C:\Users\李\Desktop\WorkDocument\Grade3-b\Singapore\rrg_other\client\lock\config\lxj.json,ok,,36243,25,18,10,A/B,0,8845,26451,17606,5.218289085545723,15.605309734513275,5
lxj,formal,C:\Users\李\Desktop\WorkDocument\Grade3-b\Singapore\rrg_other\client\capture\lxj\formal-007.pm3,,C:\Users\李\Desktop\WorkDocument\Grade3-b\Singapore\rrg_other\client\lock\config\lxj.json,ok,,36243,23,18,10,A/B,0,6701,24179,17478,3.953392330383481,14.264896755162242,5
lxj,formal,C:\Users\李\Desktop\WorkDocument\Grade3-b\Singapore\rrg_other\client\capture\lxj\formal-008.pm3,,C:\Users\李\Desktop\WorkDocument\Grade3-b\Singapore\rrg_other\client\lock\config\lxj.json,ok,,36243,23,18,10,A/B,0,7821,25363,17542,4.614159292035398,14.963421828908555,5
lxj,formal,C:\Users\李\Desktop\WorkDocument\Grade3-b\Singapore\rrg_other\client\capture\lxj\formal-009.pm3,,C:\Users\李\Desktop\WorkDocument\Grade3-b\Singapore\rrg_other\client\lock\config\lxj.json,ok,,36243,24,18,10,A/B,0,8205,25747,17542,4.840707964601769,15.189970501474926,5
lxj,formal,C:\Users\李\Desktop\WorkDocument\Grade3-b\Singapore\rrg_other\client\capture\lxj\formal.pm3,,C:\Users\李\Desktop\WorkDocument\Grade3-b\Singapore\rrg_other\client\lock\config\lxj.json,ok,,36243,25,18,10,A/B,0,7949,25523,17574,4.689675516224189,15.057817109144544,5
